Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 100:, hard_loss_metric=0.43646878, full_loss_metric=0.19383493, full_loss_num=186494.12500000, mean_dist=0.18835674, lr=0.000100, hard or full='full'
iter 200:, hard_loss_metric=0.52700424, full_loss_metric=0.18912143, full_loss_num=132142.65625000, mean_dist=0.40090808, lr=0.000100, hard or full='full'
iter 300:, hard_loss_metric=0.54423612, full_loss_metric=0.18827009, full_loss_num=106074.07812500, mean_dist=0.53614444, lr=0.000100, hard or full='full'
iter 400:, hard_loss_metric=0.54844928, full_loss_metric=0.18781008, full_loss_num=95274.65625000, mean_dist=0.60707247, lr=0.000100, hard or full='full'
iter 500:, hard_loss_metric=0.54803681, full_loss_metric=0.18627475, full_loss_num=83724.52343750, mean_dist=0.68336606, lr=0.000100, hard or full='full'
iter 600:, hard_loss_metric=0.55176896, full_loss_metric=0.18633817, full_loss_num=73674.03125000, mean_dist=0.75985068, lr=0.000100, hard or full='full'
iter 700:, hard_loss_metric=0.54713607, full_loss_metric=0.18583831, full_loss_num=68336.11718750, mean_dist=0.81032109, lr=0.000100, hard or full='full'
iter 800:, hard_loss_metric=0.54844576, full_loss_metric=0.18672983, full_loss_num=61731.23046875, mean_dist=0.87844867, lr=0.000100, hard or full='full'
iter 900:, hard_loss_metric=0.54540211, full_loss_metric=0.18650812, full_loss_num=57674.46875000, mean_dist=0.91822523, lr=0.000100, hard or full='full'
0:04:19.419558
iter 1000:, hard_loss_metric=0.54837084, full_loss_metric=0.18781930, full_loss_num=55467.60546875, mean_dist=0.95722944, lr=0.000100, hard or full='full'
iter 1100:, hard_loss_metric=0.54067749, full_loss_metric=0.18629992, full_loss_num=52628.33593750, mean_dist=0.98753983, lr=0.000100, hard or full='full'
iter 1200:, hard_loss_metric=0.53700632, full_loss_metric=0.18655577, full_loss_num=49975.24609375, mean_dist=1.03270054, lr=0.000100, hard or full='full'
iter 1300:, hard_loss_metric=0.53365529, full_loss_metric=0.18499495, full_loss_num=46877.60156250, mean_dist=1.06851053, lr=0.000100, hard or full='full'
iter 1400:, hard_loss_metric=0.53675973, full_loss_metric=0.18705687, full_loss_num=45021.76171875, mean_dist=1.10395551, lr=0.000100, hard or full='full'
iter 1500:, hard_loss_metric=0.53239417, full_loss_metric=0.18683919, full_loss_num=42064.98046875, mean_dist=1.14868009, lr=0.000100, hard or full='full'
iter 1600:, hard_loss_metric=0.53332442, full_loss_metric=0.18710464, full_loss_num=41001.62500000, mean_dist=1.16581571, lr=0.000100, hard or full='full'
iter 1700:, hard_loss_metric=0.52162379, full_loss_metric=0.18574545, full_loss_num=39726.06250000, mean_dist=1.19400489, lr=0.000100, hard or full='full'
iter 1800:, hard_loss_metric=0.52015764, full_loss_metric=0.18582945, full_loss_num=37614.55859375, mean_dist=1.23487139, lr=0.000100, hard or full='full'
iter 1900:, hard_loss_metric=0.51628506, full_loss_metric=0.18595117, full_loss_num=35772.87890625, mean_dist=1.26158071, lr=0.000100, hard or full='full'
0:04:14.711004
iter 2000:, hard_loss_metric=0.52281404, full_loss_metric=0.18723665, full_loss_num=36042.73437500, mean_dist=1.27614057, lr=0.000100, hard or full='full'
iter 2100:, hard_loss_metric=0.51167423, full_loss_metric=0.18608272, full_loss_num=33305.16406250, mean_dist=1.30815840, lr=0.000100, hard or full='full'
iter 2200:, hard_loss_metric=0.51554698, full_loss_metric=0.18600203, full_loss_num=33498.21875000, mean_dist=1.31996393, lr=0.000100, hard or full='full'
iter 2300:, hard_loss_metric=0.51286560, full_loss_metric=0.18707648, full_loss_num=33000.74218750, mean_dist=1.34417880, lr=0.000100, hard or full='full'
iter 2400:, hard_loss_metric=0.50398630, full_loss_metric=0.18632975, full_loss_num=30371.86718750, mean_dist=1.37981558, lr=0.000100, hard or full='full'
iter 2500:, hard_loss_metric=0.50856543, full_loss_metric=0.18650430, full_loss_num=30932.90234375, mean_dist=1.39130747, lr=0.000100, hard or full='full'
iter 2600:, hard_loss_metric=0.50110900, full_loss_metric=0.18562317, full_loss_num=29502.58593750, mean_dist=1.40906096, lr=0.000100, hard or full='full'
iter 2700:, hard_loss_metric=0.50004202, full_loss_metric=0.18645693, full_loss_num=28543.06835938, mean_dist=1.44601667, lr=0.000100, hard or full='full'
iter 2800:, hard_loss_metric=0.49975058, full_loss_metric=0.18631192, full_loss_num=28188.94531250, mean_dist=1.44933486, lr=0.000100, hard or full='full'
iter 2900:, hard_loss_metric=0.49765748, full_loss_metric=0.18681994, full_loss_num=27358.80664062, mean_dist=1.47729802, lr=0.000100, hard or full='full'
0:04:15.461202
iter 3000:, hard_loss_metric=0.49670872, full_loss_metric=0.18623075, full_loss_num=26731.14843750, mean_dist=1.48355055, lr=0.000100, hard or full='full'
iter 3100:, hard_loss_metric=0.48820159, full_loss_metric=0.18574312, full_loss_num=26811.92968750, mean_dist=1.50253367, lr=0.000100, hard or full='full'
iter 3200:, hard_loss_metric=0.49117073, full_loss_metric=0.18772343, full_loss_num=25443.18554688, mean_dist=1.53154874, lr=0.000100, hard or full='full'
iter 3300:, hard_loss_metric=0.49007910, full_loss_metric=0.18841803, full_loss_num=24571.36718750, mean_dist=1.55799484, lr=0.000100, hard or full='full'
iter 3400:, hard_loss_metric=0.48222879, full_loss_metric=0.18553132, full_loss_num=24237.32812500, mean_dist=1.55727375, lr=0.000100, hard or full='full'
iter 3500:, hard_loss_metric=0.48027888, full_loss_metric=0.18694988, full_loss_num=23348.98437500, mean_dist=1.59355509, lr=0.000100, hard or full='full'
iter 3600:, hard_loss_metric=0.46913341, full_loss_metric=0.18505409, full_loss_num=22332.89062500, mean_dist=1.61276770, lr=0.000100, hard or full='full'
iter 3700:, hard_loss_metric=0.47517315, full_loss_metric=0.18699974, full_loss_num=22404.98828125, mean_dist=1.62245548, lr=0.000100, hard or full='full'
iter 3800:, hard_loss_metric=0.47821370, full_loss_metric=0.18758973, full_loss_num=22724.43750000, mean_dist=1.62566829, lr=0.000100, hard or full='full'
iter 3900:, hard_loss_metric=0.46882689, full_loss_metric=0.18492509, full_loss_num=21821.61328125, mean_dist=1.64350200, lr=0.000100, hard or full='full'
0:04:17.171224
iter 4000:, hard_loss_metric=0.48066613, full_loss_metric=0.18810150, full_loss_num=22020.92187500, mean_dist=1.65521693, lr=0.000100, hard or full='full'
iter 4100:, hard_loss_metric=0.46557763, full_loss_metric=0.18670148, full_loss_num=21003.83203125, mean_dist=1.66872060, lr=0.000100, hard or full='full'
iter 4200:, hard_loss_metric=0.46411967, full_loss_metric=0.18656562, full_loss_num=20336.44921875, mean_dist=1.69963408, lr=0.000100, hard or full='full'
iter 4300:, hard_loss_metric=0.46520984, full_loss_metric=0.18621159, full_loss_num=20457.35937500, mean_dist=1.70630062, lr=0.000100, hard or full='full'
iter 4400:, hard_loss_metric=0.46509883, full_loss_metric=0.18626617, full_loss_num=19959.02343750, mean_dist=1.71227598, lr=0.000100, hard or full='full'
iter 4500:, hard_loss_metric=0.46240911, full_loss_metric=0.18660402, full_loss_num=19824.31054688, mean_dist=1.72747588, lr=0.000100, hard or full='full'
iter 4600:, hard_loss_metric=0.44992292, full_loss_metric=0.18483648, full_loss_num=18563.61132812, mean_dist=1.75310099, lr=0.000100, hard or full='full'
iter 4700:, hard_loss_metric=0.46049145, full_loss_metric=0.18718557, full_loss_num=19314.13085938, mean_dist=1.74676621, lr=0.000100, hard or full='full'
iter 4800:, hard_loss_metric=0.46045893, full_loss_metric=0.18812896, full_loss_num=18532.71289062, mean_dist=1.77807724, lr=0.000100, hard or full='full'
iter 4900:, hard_loss_metric=0.44807717, full_loss_metric=0.18710570, full_loss_num=18432.97070312, mean_dist=1.79359281, lr=0.000100, hard or full='full'
0:04:17.695353
iter 5000:, hard_loss_metric=0.44532433, full_loss_metric=0.18738247, full_loss_num=17588.16406250, mean_dist=1.81790960, lr=0.000100, hard or full='full'
iter 5100:, hard_loss_metric=0.44396034, full_loss_metric=0.18617344, full_loss_num=18053.87304688, mean_dist=1.80748248, lr=0.000100, hard or full='full'
iter 5200:, hard_loss_metric=0.45350698, full_loss_metric=0.18688059, full_loss_num=18606.93554688, mean_dist=1.78948259, lr=0.000100, hard or full='full'
iter 5300:, hard_loss_metric=0.44616413, full_loss_metric=0.18589014, full_loss_num=17722.62890625, mean_dist=1.79940069, lr=0.000100, hard or full='full'
iter 5400:, hard_loss_metric=0.44022033, full_loss_metric=0.18724912, full_loss_num=16874.92187500, mean_dist=1.85291111, lr=0.000100, hard or full='full'
iter 5500:, hard_loss_metric=0.44259503, full_loss_metric=0.18630198, full_loss_num=16910.33203125, mean_dist=1.86527848, lr=0.000100, hard or full='full'
iter 5600:, hard_loss_metric=0.44435069, full_loss_metric=0.18622854, full_loss_num=17107.85937500, mean_dist=1.86788785, lr=0.000100, hard or full='full'
iter 5700:, hard_loss_metric=0.43786731, full_loss_metric=0.18755580, full_loss_num=15613.92285156, mean_dist=1.91450810, lr=0.000100, hard or full='full'
